client,year,w_year,Calls,Answers,Contacted Percentaje
ACTUALCASH,2025,27,10060,1427,14.18
ACTUALCASH,2025,28,30751,3628,11.8
ACTUALCASH,2025,29,22721,2711,11.93
ACTUALCASH,2025,30,11968,4069,34.0
ACTUALCASH,2025,31,11364,3460,30.45
ACTUALCASH,2025,32,35788,3420,9.56
ACTUALCASH,2025,33,28114,4026,14.32
ACTUALCASH,2025,34,23978,3483,14.53
ACTUALCASH,2025,35,36340,5836,16.06
ACTUALCASH,2025,36,10677,853,7.99
ACTUALCASH,2025,38,1,0,0.0
BALL,2025,27,10590,2590,24.46
BALL,2025,28,21708,5081,23.41
BALL,2025,29,16405,3692,22.51
BALL,2025,30,9601,2842,29.6
BALL,2025,31,5483,1253,22.85
BEACON_NURTURE,2025,27,34645,3421,9.87
BEACON_NURTURE,2025,28,36045,4009,11.12
BEACON_NURTURE,2025,29,20991,2661,12.68
BEACON_NURTURE,2025,30,26189,3254,12.43
BEACON_NURTURE,2025,31,32932,3764,11.43
BEACON_NURTURE,2025,32,20725,2398,11.57
BEACON_NURTURE,2025,33,38148,3391,8.89
BEACON_NURTURE,2025,34,26266,2812,10.71
BEACON_NURTURE,2025,35,27233,2449,8.99
BEACON_NURTURE,2025,36,182,33,18.13
BEACON_NURTURE,2025,37,1,0,0.0
BHLANDGROUP,2025,27,8448,1440,17.05
BHLANDGROUP,2025,28,18694,2563,13.71
BHLANDGROUP,2025,29,14399,1750,12.15
BHLANDGROUP,2025,30,12541,1970,15.71
BHLANDGROUP,2025,31,12367,1491,12.06
BHLANDGROUP,2025,32,20515,2566,12.51
BHLANDGROUP,2025,33,19031,2333,12.26
BHLANDGROUP,2025,34,15471,2060,13.32
BHLANDGROUP,2025,35,48925,3412,6.97
BHLANDGROUP,2025,36,17709,1757,9.92
BHLANDGROUP,2025,37,15728,1794,11.41
BHLANDGROUP,2025,38,13567,1988,14.65
BHLANDGROUP,2025,39,22561,1538,6.82
BHLANDGROUP,2025,40,5229,609,11.65
CAPITALIZED,2025,29,1,0,0.0
CASAOFFERS_NURTURE_AZ,2025,37,597,230,38.53
CASAOFFERS_NURTURE_AZ,2025,38,226,66,29.2
CASAOFFERS_NURTURE_AZ,2025,39,3,1,33.33
CASAOFFERS_NURTURE_CA,2025,37,1947,573,29.43
CASAOFFERS_NURTURE_CA,2025,38,105,23,21.9
CASAOFFERS_NURTURE_CA,2025,39,914,226,24.73
CASAOFFERS_NURTURE_CA,2025,40,2,0,0.0
CASAOFFERS_NURTURE_CT,2025,27,2,0,0.0
CASAOFFERS_NURTURE_CT,2025,28,9,8,88.89
CASAOFFERS_NURTURE_CT,2025,29,7,0,0.0
CASAOFFERS_NURTURE_CT,2025,30,5,0,0.0
CASAOFFERS_NURTURE_CT,2025,31,1480,0,0.0
CASAOFFERS_NURTURE_CT,2025,32,71,0,0.0
CASAOFFERS_NURTURE_CT,2025,33,19,0,0.0
CASAOFFERS_NURTURE_CT,2025,34,21,0,0.0
CASAOFFERS_NURTURE_CT,2025,35,10,0,0.0
CASAOFFERS_NURTURE_CT,2025,36,16,0,0.0
CASAOFFERS_NURTURE_CT,2025,37,7161,1606,22.43
CASAOFFERS_NURTURE_CT,2025,38,6138,1128,18.38
CASAOFFERS_NURTURE_CT,2025,39,5843,914,15.64
CASAOFFERS_NURTURE_CT,2025,40,2945,540,18.34
CASAOFFERS_NURTURE_FL,2025,29,1,0,0.0
CASAOFFERS_NURTURE_FL,2025,32,1,0,0.0
CASAOFFERS_NURTURE_FL,2025,36,3,0,0.0
CASAOFFERS_NURTURE_FL,2025,38,93,35,37.63
CASAOFFERS_NURTURE_FL,2025,39,267,81,30.34
CASAOFFERS_NURTURE_FL,2025,40,21,9,42.86
CASAOFFERS_NURTURE_SPANISH,2025,37,575,138,24.0
CASAOFFERS_NURTURE_SPANISH,2025,38,237,47,19.83
CASAOFFERS_NURTURE_SPANISH,2025,39,211,37,17.54
CASAOFFERS_NURTURE_SPANISH,2025,40,3,1,33.33
CASAOFFERS_NURTURE_TX,2025,28,29,16,55.17
CASAOFFERS_NURTURE_TX,2025,29,11,0,0.0
CASAOFFERS_NURTURE_TX,2025,30,3,0,0.0
CASAOFFERS_NURTURE_TX,2025,31,3,0,0.0
CASAOFFERS_NURTURE_TX,2025,37,1,1,100.0
CASAOFFERS_NURTURE_TX,2025,38,1,1,100.0
CASAOFFERS_NURTURE_VA,2025,27,1,0,0.0
CASAOFFERS_NURTURE_VA,2025,28,1565,358,22.88
CASAOFFERS_NURTURE_VA,2025,30,3,0,0.0
CASAOFFERS_NURTURE_VA,2025,31,2,0,0.0
CASAOFFERS_NURTURE_VA,2025,33,1,0,0.0
CASAOFFERS_NURTURE_VA,2025,36,1,0,0.0
CASAOFFERS_NURTURE_VA,2025,37,2835,743,26.21
CASAOFFERS_NURTURE_VA,2025,38,873,178,20.39
CASAOFFERS_NURTURE_VA,2025,39,381,69,18.11
CASAOFFERS_NURTURE_VA,2025,40,1106,224,20.25
CASA_AZ,2025,32,2,2,100.0
CASA_AZ,2025,33,8099,3320,40.99
CASA_AZ,2025,34,13848,5620,40.58
CASA_AZ,2025,35,19006,6613,34.79
CASA_AZ,2025,36,14923,4283,28.7
CASA_AZ,2025,37,12,10,83.33
CASA_AZ,2025,38,5,5,100.0
CASA_AZ,2025,39,2,1,50.0
CASA_AZ,2025,40,3,1,33.33
CASA_CA,2025,32,7240,2269,31.34
CASA_CA,2025,33,25365,5566,21.94
CASA_CA,2025,34,16468,3613,21.94
CASA_CA,2025,35,19007,5178,27.24
CASA_CA,2025,36,18211,4363,23.96
CASA_CA,2025,37,7,7,100.0
CASA_CA,2025,38,1,1,100.0
CASA_CA,2025,39,5,4,80.0
CASA_CA,2025,40,1,1,100.0
CASA_CT,2025,31,99891,8821,8.83
CASA_CT,2025,32,51352,4893,9.53
CASA_CT,2025,33,92342,15579,16.87
CASA_CT,2025,34,50573,7773,15.37
CASA_CT,2025,35,39379,10717,27.22
CASA_CT,2025,36,33081,8247,24.93
CASA_CT,2025,37,33221,7809,23.51
CASA_CT,2025,38,31695,6178,19.49
CASA_CT,2025,39,31309,6616,21.13
CASA_CT,2025,40,18786,4584,24.4
CASA_TX,2025,27,6,5,83.33
CASA_TX,2025,28,3,1,33.33
CASA_TX,2025,29,4,2,50.0
CASA_TX,2025,30,3,2,66.67
CASA_TX,2025,31,6,5,83.33
CASA_TX,2025,32,20,16,80.0
CASA_TX,2025,33,3,2,66.67
CASA_TX,2025,34,5,3,60.0
CASA_TX,2025,35,6,6,100.0
CASA_TX,2025,37,5,5,100.0
CASA_TX,2025,38,4,3,75.0
CASA_TX,2025,39,7,6,85.71
CASA_TX,2025,40,1,1,100.0
CASA_VA,2025,27,28149,3383,12.02
CASA_VA,2025,28,53621,8354,15.58
CASA_VA,2025,29,31451,5987,19.04
CASA_VA,2025,30,47296,8156,17.24
CASA_VA,2025,31,54591,7314,13.4
CASA_VA,2025,32,117573,13337,11.34
CASA_VA,2025,33,30773,3320,10.79
CASA_VA,2025,34,9783,1778,18.17
CASA_VA,2025,35,21539,4035,18.73
CASA_VA,2025,36,8177,977,11.95
CASA_VA,2025,37,25158,3331,13.24
CASA_VA,2025,38,31400,2906,9.25
CASA_VA,2025,39,30604,4985,16.29
CASA_VA,2025,40,18277,3274,17.91
CASH2CLOSE,2025,33,5503,829,15.06
CASH2CLOSE,2025,34,11275,1826,16.2
CASH2CLOSE,2025,35,14051,2170,15.44
CASH2CLOSE,2025,36,13648,1730,12.68
CASH2CLOSE,2025,37,12692,1903,14.99
CASH2CLOSE,2025,38,13925,2220,15.94
CASH2CLOSE,2025,39,13360,2275,17.03
CASH2CLOSE,2025,40,5396,952,17.64
CASHBUYERS,2025,27,1,0,0.0
CASHBUYERS,2025,28,108,8,7.41
CASHBUYERS,2025,29,2,0,0.0
CASHBUYERS,2025,30,1,0,0.0
CASHBUYERS,2025,31,3,0,0.0
CASHBUYERS,2025,32,1,0,0.0
CASHBUYERS,2025,33,1,0,0.0
CASHBUYERS,2025,34,3,0,0.0
